Year,Country,Exports_USD_Billion,Imports_USD_Billion,GDP_USD_Trillion,Trade_Balance,Sanctions_Impact_Index,Currency_Stability_Index,Trade_Partners,Notes,Sanctions_Imposed_By,Sanction_Reasons,Currency_Value_USD
2010,Brazil,1606.09,1798.23,1.97,-192.14,1,66,15,Stable global trade operations. ,,,0.57
2010,Russia,1773.34,248.13,15.92,1525.21,7,61,5,Travel bans and asset freezes on officials,USA,Human rights abuses (Magnitsky Act),0.032
2010,India,227.52,252.16,17.78,-24.64,12,58,9,Stable global trade operations. ,,,0.022
2010,USA,1400.0,1800.0,15.0,-400.0,10,90,80,Stable global trade operations. Managed trade balance and economic growth in 2010.,,,1.0
2010,China,1009.07,1245.04,4.31,-235.97,9,79,22,"IP theft, unfair subsidies, cyber activity","USA, EU","WTO disputes, anti-dumping tariffs",0.15
2010,South Africa,2233.52,2001.59,7.04,231.93,13,57,8,Stable global trade operations. ,,,0.14
2011,Brazil,950.7,348.2,6.29,602.5,15,77,18,Stable global trade operations. ,,,0.55
2011,Russia,1946.91,1993.64,16.96,-46.73,31,73,21,Stable global trade operations. ,,,0.031
2011,India,613.74,818.22,17.38,-204.48,59,59,7,Energy import restrictions,USA (Iran sanctions),Iran oil import workaround,0.021
2011,USA,1440.0,1835.0,15.55,-395.0,13,89,81,Stable global trade operations. Managed trade balance and economic growth in 2011.,,,1.0
2011,China,272.85,611.1,13.21,-338.25,75,77,19,"IP theft, unfair subsidies, cyber activity","USA, EU","WTO disputes, anti-dumping tariffs",0.155
2011,South Africa,580.56,1784.54,16.35,-1203.98,69,63,23,Stable global trade operations.,,,0.13
2012,Brazil,264.14,1510.49,11.93,-1246.35,53,89,20,WTO Dispute with USA,USA,U.S. cotton subsidies ruled unfair by WTO (dating back to early 2000s),0.53
2012,Russia,1099.74,1566.05,5.98,-466.31,88,68,10,Stable global trade operations  ,,,0.03
2012,India,579.09,679.86,8.81,-100.77,90,78,9,Energy import restrictions,USA (Iran sanctions),Iran oil import workaround,0.02
2012,USA,1480.0,1870.0,16.1,-390.0,16,88,82,Stable global trade operations. Managed trade balance and economic growth in 2012.,,,1.0
2012,China,1565.08,1022.37,3.75,542.71,3,64,13,"IP theft, unfair subsidies, cyber activity","USA, EU","WTO disputes, anti-dumping tariffs",0.16
2012,South Africa,1190.6,1957.52,5.24,-766.92,32,97,5,Strikes in mining sector disrupted exports,,,0.12
2013,Brazil,1557.03,101.29,5.3,1455.74,38,80,14,WTO Dispute with USA,USA,U.S. cotton subsidies ruled unfair by WTO (dating back to early 2000s),0.52
2013,Russia,1335.44,883.88,17.07,451.56,93,85,13,Stable global trade operations.,,,0.028
2013,India,936.85,293.49,9.41,643.36,79,64,20,Energy import restrictions,USA (Iran sanctions),Iran oil import workaround,0.019
2013,China,1523.65,761.13,4.58,762.52,12,72,14,"IP theft, unfair subsidies, cyber activity","USA, EU","WTO disputes, anti-dumping tariffs",0.162
2013,South Africa,926.76,863.64,5.13,63.12,58,98,20,U.S. AGOA Trade Uncertainty,USA,Concerns over poultry import restrictions and intellectual property law issues,0.1
2014,Brazil,201.78,700.43,17.09,-498.65,56,64,9,Stable global trade operations.,,,0.5
2014,Russia,385.48,364.23,9.28,21.25,27,95,24,Sanctions over Crimea impacted trade flows,"USA, EU, UK, Canada",Annexation of Crimea,0.026
2014,India,173.41,1743.31,15.38,-1569.9,18,72,18,Stable global trade operations,,,0.018
2014,USA,1560.0,1940.0,17.2,-380.0,22,86,84,Stable global trade operations. Managed trade balance and economic growth in 2014.,,,1.0
2014,China,227.75,1319.01,10.5,-1091.26,55,58,14,"IP theft, unfair subsidies, cyber activity","USA, EU","WTO disputes, anti-dumping tariffs",0.163
2014,South Africa,1155.26,1328.61,10.36,-173.35,8,56,24,U.S. AGOA Trade Uncertainty,USA,Concerns over poultry import restrictions and intellectual property law issues,0.09
2015,Brazil,214.77,2063.66,3.44,-1848.89,26,67,6,Political scandal and recession reduced trade,,,0.48
2015,Russia,578.04,1335.3,16.49,-757.26,62,61,19,"Oil price collapse, deep export losses","EU, USA",Crimea & Eastern Ukraine continued conflict,0.02
2015,India,882.28,1554.23,10.41,-671.95,86,70,20,Stable global trade operations,,,0.017
2015,USA,1500.0,2200.0,18.2,-700.0,10,95,80,Maintained global trade dominance. Imposed AGOA-related warnings on South Africa over poultry imports.,,,1.0
2015,China,292.23,591.57,15.66,-299.34,45,85,10,Stable global trade operations.,,,0.165
2015,South Africa,1580.99,1301.79,13.13,279.2,2,54,16,U.S. AGOA Trade Uncertainty,USA,Concerns over poultry import restrictions and intellectual property law issues,0.07
2016,Brazil,1236.4,1389.12,13.48,-152.72,46,63,8,Stable global trade operations.,,,0.46
2016,Russia,1908.38,1480.34,16.99,428.04,79,53,17,"Sanctions on GRU (military intel), FSB, cyber actors",USA,Election interference (2016 US Elections),0.016
2016,India,1673.03,1269.42,7.4,403.61,89,56,7,GST reform disrupted internal trade temporarily,,,0.016
2016,USA,1640.0,2010.0,18.3,-370.0,13,89,81,Stable global trade operations. Managed trade balance and economic growth in 2016.,,,1.0
2016,China,1543.45,2076.68,16.67,-533.23,66,81,19,Stable global trade operations.,,,0.167
2016,South Africa,2199.99,1705.83,14.67,494.16,44,74,12,South Africa complied and kept AGOA status,USA,Concerns over poultry import restrictions and intellectual property law issues,0.065
2017,Brazil,1949.01,828.81,13.11,1120.2,20,97,8,Stable global trade operations.,,,0.44
2017,Russia,1948.6,949.5,17.04,999.1,8,91,11,Stable global trade operations,,,0.014
2017,India,991.77,1449.28,2.31,-457.51,20,63,23,Stable global trade operations,,,0.015
2017,USA,1680.0,2045.0,18.85,-365.0,16,88,82,Stable global trade operations. Managed trade balance and economic growth in 2017.,,,1.0
2017,China,1169.5,754.88,3.16,414.62,62,64,9,Stable global trade operations.,,,0.168
2017,South Africa,935.06,544.18,7.17,390.88,77,62,22,"""Gupta Leaks"",Jacob Zuma fired Finance Minister Pravin Gordhan,Zuma trying to remove barriers to state capture and looting,S&P Global and Fitch downgraded SA’s credit rating to junk status",,,0.075
2018,Brazil,1726.89,1935.74,10.93,-208.85,62,90,21,"Truckers strike disrupted exports, EU-Mercosur Trade Agreement Blocked","European Union (France, Germany, Austria led)",Concerns over Amazon deforestation and Bolsonaro’s environmental policies,0.42
2018,Russia,2309.68,1014.06,4.9,1295.62,100,57,8,Financial and diplomatic sanctions,"USA, UK",Poisoning of Skripal and cyber threats,0.013
2018,India,362.93,2160.87,3.2,-1797.94,1,61,6,Military procurement pressure,USA (CAATSA threat),S-400 defense deal with Russia,0.014
2018,USA,1550.0,2350.0,20.5,-800.0,15,92,90,Launched U.S.-China trade war with heavy tariffs on Chinese goods.,China (retaliatory tariffs),US-initiated trade conflict,1.0
2018,China,1157.06,645.67,9.11,511.39,80,79,13,"Start of U.S.-China trade war. U.S. imposed tariffs on steel, aluminum, electronics,$550B tariffs, tech bans",USA,"Trade war, tech transfer, trade imbalance",0.17
2018,South Africa,392.73,778.57,16.3,-385.84,39,56,19,Political uncertainty under President Ramaphosa's early leadership; investment slowed. Political Criticism Over Corruption,"Western media, investment firms (not official sanctions)","Zuma-era corruption, Gupta influence, and ""State Capture""",0.07
2019,Brazil,353.43,1262.41,9.58,-908.98,75,63,7,Benefited from US-China trade war by exporting soy and beef to China.EU-Mercosur Trade Agreement Blocked,"European Union (France, Germany, Austria led)",Concerns over Amazon deforestation and Bolsonaro’s environmental policies,0.4
2019,Russia,2294.46,1601.47,15.6,692.99,50,53,13,Stable global trade operations.,,,0.012
2019,India,2393.49,1415.33,6.03,978.16,9,63,22,Export trade restrictions,USA,GSP trade privileges removed,0.013
2019,USA,1760.0,2115.0,19.95,-355.0,22,86,84,Stable global trade operations. Managed trade balance and economic growth in 2019.,,,1.0
